quiz_title,question,option1,option2,option3,option4,answer
ITe Quiz 1,다음 중 소프트웨어의 문제로 옳지 않은 것은 무엇인가요?,버그로 인한 오작동,보안 취약점,장치 연결 오류,성능 저하,3
ITe Quiz 1,다음 중 하드웨어의 문제로 옳지 않은 것은 무엇인가요?,전원 공급 장애,드라이버 호환성 문제,물리적 손상,메모리 용량 부족,2
ITe Quiz 1,어떤 문제는 소프트웨어와 하드웨어 모두에 영향을 미칠 수 있습니다. 그 문제는 무엇인가요?,암호화 기능 오류,전원 이상,웹 브라우저 충돌,네트워크 속도 저하,4
ITe Quiz 1,다음 중 소프트웨어와 하드웨어의 상호 작용데 관련된 문제로 옳은 것은 무엇인가요?,터치스크린 반응 불량,악성 코드 감염,디스플레이 화질 저하,메인보드 오버히팅,4
ITe Quiz 2,웹 개발에서 사용되는 프론트엔드 언어는 무엇인가요?,Python,HTML,Java,SQL,2
ITe Quiz 2,웹 서버와 웹 브라우저 사이의 통신에 사용되는 프로토콜은 무엇인가요?,FTP,HTTP,SMTP,DNS,2
ITe Quiz 2,다음 중 웹 호스팅에 대한 설명으로 옳은 것은 무엇인가요?,웹 호스팅은 웹 사이트의 디자인을 만드는 것을 의미한다.,웹 호스팅은 웹 페에지의 접속자 수를 추적하는 도구를 제공한다.,웹 호스팅은 웹 서버에 웹 사이트를 저장하고 인터넷을 통해 접속할 수 있게 하는 서비스이다.,웹 호스팅은 컴퓨터의 하드웨어를 완전히 대체하는 클라우드 기술을 의미한다.,3
ITe Quiz 2,웹 사이트의 디자인과 레이아웃을 결정하는데 사용되는 스타일 시트 언어는 무엇인가요?,XML,JavaScript,CSS,Ruby,3
ITe Quiz 3,운영체제(Operating System)란 무엇인가요?,컴퓨터의 하드웨어를 관리하는 소프트웨어,프로그래밍 언어 중 하나 ,인터넷 브라우저,그래픽 디자인 소프트웨어,1
ITe Quiz 3,다음 중 프로그래밍이란 무엇인가요?,하나의 프로세스가 여러 개의 쓰레드로 나뉘어 실행되는 것,여러 개의 프로세스가 번갈아가며 실행되는 것,하나의 프로세스가 실행되는 동안 다른 프로세스들이 기다리는 것,여러 대의 컴퓨터가 연결되어 하나의 큰 프로그램을 실행하는 것,2
ITe Quiz 3,가상 메모리(Virtual Memory)란 무엇인가요?,프로세스 간 통신을 위한 메모리 공간,램(RAM)의 크기를 늘려주는 기술,디스크의 일부를 램처럼 사용하는 기술,가상적으로 생성된 컴퓨터의 메모리,3
ITe Quiz 3,교착상태(Deadlock)가 발생하는 조건은 무엇인가요?,"상호 배제, 점유 대기, 비선점, 순환대기",잘못된 데이터 타입 사용,스택 오버플로우,파일 시스템 오류,1
ITe Quiz 4,데이터베이스(Database)란 무엇인가요?,컴퓨터 하드웨어를 관리하는 소프트웨어,텍스트 문서를 작성하는 소프트웨어,구조화된 데이터의 집합을 저장하고 관리하는 시스템,인터넷 브라우저,3
ITe Quiz 4,관계형 데이터베이스(Relational Database)에서 '테이블'이란 무엇인가요?,데이터베이스의 기본 단위로서 레코드를 포함하는 구조,데이터베이스를 백업하는 과정,두 개의 테이블을 결합하는 작업,데이터를 검색하는 명령어,1
ITe Quiz 4,SQL(Structured Query Language)은 무엇의 약자인가요?,Simple Question Language,Structured Question Language,Structured Query Language,Sequential Query Language,3
ITe Quiz 4,데이터베이스에서 '기본 키(Primary Key)'는 무엇을 의미하나요?,테이블에서 유일한 레코드를 식별하는 열,데이터베이스의 모든 데이터를 삭제하는 명령어,테이블 간의 관계를 설정하는 열,데이터베이스를 백업하는 명령어,1
ITe Quiz 5,자료구조(Data Structure)란 무엇인가요?,데이터를 가공하여 결과를 도출하는 소프트웨어,자연어 처리를 위한 알고리즘,데이터를 효율적으로 저장하고 관리하는 방법,이미지를 처리를 위한 라이브러리,3
ITe Quiz 5,배열(Array)과 연결리스트(Linked List)의 차이점은 무엇인가요?,"배열은 데이터를 순차적으로 저장하는 반면, 연결리스트는 불연속적으로 저장한다.","배열은 동적으로 크기를 변경할 수 있지만, 연결리스트는 고정된 크기를 갖는다.","배열은 선형 자료구조이지만, 연결리스트는 비선형 자료구조이다.","배열은 데이터를 삽입하거나 삭제할 수 없지만, 연결리스트는 가능하다.",1
ITe Quiz 5,스택(Stack)과 큐(Queue)의 특징을 비교하면 다음 중 올바른 것은 무엇인가요?,"스택은 후입선출(LIFO) 방식으로 동작하고, 큐는 선입선출(FIFO)방식으로 동작한다.",스택과 큐는 모두 후입선출(LIFO)방식으로 동작한다.,스택과 큐는 모두 후입선출(LIFO) 방식으로 동작한다.,스택과 큐는 모두 선인선출(FIFO)방식으로 동작한다.,1
